2021-01-13 02:53:37,961 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2021-01-13 02:53:40,740 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2021-01-13 02:54:18,254 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2021-01-13 02:54:20,580 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2021-01-13 02:54:31,703 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2021-01-13 02:55:34,890 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2021-01-13 02:55:46,015 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2021-01-13 02:55:47,485 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2021-01-13 02:55:59,129 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2021-01-13 02:56:06,172 INFO  ExportPropertyManager.cs: 422 - Configuration saved
2021-01-13 02:56:14,198 INFO  ExportHelperExtension.cs: 347 - Creating joint wheel_l
2021-01-13 02:56:14,666 WARN  ExportHelperExtension.cs: 351 - Creating joint from parent base_link to child wheel_l failed
2021-01-13 02:56:14,808 INFO  ExportHelperExtension.cs: 347 - Creating joint wheel_r
2021-01-13 02:56:14,950 WARN  ExportHelperExtension.cs: 351 - Creating joint from parent base_link to child wheel_r failed
2021-01-13 02:56:15,068 INFO  ExportHelperExtension.cs: 347 - Creating joint imu_link
2021-01-13 02:56:15,069 WARN  ExportHelperExtension.cs: 351 - Creating joint from parent base_link to child imu_link failed
2021-01-13 02:56:15,099 INFO  ExportHelperExtension.cs: 347 - Creating joint laser_link
2021-01-13 02:56:15,100 WARN  ExportHelperExtension.cs: 351 - Creating joint from parent base_link to child laser_link failed
2021-01-13 02:56:15,383 INFO  ExportHelperExtension.cs: 347 - Creating joint camera_link
2021-01-13 02:56:15,384 WARN  ExportHelperExtension.cs: 351 - Creating joint from parent base_link to child camera_link failed
2021-01-13 02:56:15,794 INFO  ExportHelperExtension.cs: 347 - Creating joint serv_link
2021-01-13 02:56:15,958 WARN  ExportHelperExtension.cs: 351 - Creating joint from parent base_link to child serv_link failed
2021-01-13 02:56:15,970 INFO  ExportHelperExtension.cs: 347 - Creating joint golf_link
2021-01-13 02:56:15,984 WARN  ExportHelperExtension.cs: 351 - Creating joint from parent serv_link to child golf_link failed
2021-01-13 02:56:16,179 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from robot_serving.SLDASM
2021-01-13 02:56:16,188 INFO  ExportHelperExtension.cs: 1136 - Found 75 in robot_serving.SLDASM
2021-01-13 02:56:16,189 INFO  ExportHelperExtension.cs: 1145 - Found 8 features of type [CoordSys] in robot_serving.SLDASM
2021-01-13 02:56:16,189 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2021-01-13 02:56:16,189 INFO  ExportHelperExtension.cs: 1160 - 8 components to check
2021-01-13 02:56:16,190 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from serv_link-1
2021-01-13 02:56:16,190 INFO  ExportHelperExtension.cs: 1136 - Found 33 in serv_link-1
2021-01-13 02:56:16,191 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in serv_link-1
2021-01-13 02:56:16,191 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from golf_link-1
2021-01-13 02:56:16,191 INFO  ExportHelperExtension.cs: 1136 - Found 24 in golf_link-1
2021-01-13 02:56:16,192 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in golf_link-1
2021-01-13 02:56:16,192 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from motor wheel-1
2021-01-13 02:56:16,193 INFO  ExportHelperExtension.cs: 1136 - Found 37 in motor wheel-1
2021-01-13 02:56:16,193 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in motor wheel-1
2021-01-13 02:56:16,193 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from YDLidar G2-1
2021-01-13 02:56:16,194 INFO  ExportHelperExtension.cs: 1136 - Found 23 in YDLidar G2-1
